,Movie Name,IMDB Rating,Year of release
0,The Shawshank Redemption,9.3,1994
1,The Godfather,9.2,1972
2,The Dark Knight,9.0,2008
3,The Godfather: Part II,9.0,1974
4,12 Angry Men,9.0,1957
5,The Lord of the Rings: The Return of the King,8.9,2003
6,Pulp Fiction,8.9,1994
7,Schindler's List,8.9,1993
8,Inception,8.8,2010
9,Fight Club,8.8,1999
10,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
11,Forrest Gump,8.8,1994
12,"Il buono, il brutto, il cattivo",8.8,1966
13,Dara iz Jasenovca,8.7,2020
14,The Lord of the Rings: The Two Towers,8.7,2002
15,The Matrix,8.7,1999
16,Goodfellas,8.7,1990
17,Star Wars: Episode V - The Empire Strikes Back,8.7,1980
18,One Flew Over the Cuckoo's Nest,8.7,1975
19,Gisaengchung,8.6,2019
20,Soorarai Pottru,8.6,2020
21,Interstellar,8.6,2014
22,Cidade de Deus,8.6,2002
23,Sen to Chihiro no kamikakushi,8.6,2001
24,Saving Private Ryan,8.6,1998
25,The Green Mile,8.6,1999
26,La vita è bella,8.6,1997
27,Se7en,8.6,1995
28,The Silence of the Lambs,8.6,1991
29,Star Wars,8.6,1977
30,Seppuku,8.6,1962
31,Shichinin no samurai,8.6,1954
32,It's a Wonderful Life,8.6,1946
33,Hamilton,8.5,2020
34,Joker,8.5,2019
35,Whiplash,8.5,2014
36,The Intouchables,8.5,2011
37,The Prestige,8.5,2006
38,The Departed,8.5,2006
39,The Pianist,8.5,2002
40,Gladiator,8.5,2000
41,American History X,8.5,1998
42,The Usual Suspects,8.5,1995
43,Léon,8.5,1994
44,The Lion King,8.5,1994
45,Terminator 2: Judgment Day,8.5,1991
46,Nuovo Cinema Paradiso,8.5,1988
47,Hotaru no haka,8.5,1988
48,Back to the Future,8.5,1985
49,Once Upon a Time in the West,8.5,1968
50,Psycho,8.5,1960
51,Casablanca,8.5,1942
52,Modern Times,8.5,1936
53,City Lights,8.5,1931
54,Capharnaüm,8.4,2018
55,Ayla: The Daughter of War,8.4,2017
56,Vikram Vedha,8.4,2017
57,Kimi no na wa.,8.4,2016
58,Dangal,8.4,2016
59,Spider-Man: Into the Spider-Verse,8.4,2018
60,Avengers: Endgame,8.4,2019
61,Avengers: Infinity War,8.4,2018
62,Coco,8.4,I 2017
63,Django Unchained,8.4,2012
64,The Dark Knight Rises,8.4,2012
65,3 Idiots,8.4,2009
66,Taare Zameen Par,8.4,2007
67,WALL·E,8.4,2008
68,The Lives of Others,8.4,2006
69,Oldeuboi,8.4,2003
70,Memento,8.4,2000
71,Mononoke-hime,8.4,1997
72,Once Upon a Time in America,8.4,1984
73,Raiders of the Lost Ark,8.4,1981
74,The Shining,8.4,1980
75,Apocalypse Now,8.4,1979
76,Alien,8.4,1979
77,Anand,8.4,1971
78,Tengoku to jigoku,8.4,1963
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
80,Witness for the Prosecution,8.4,1957
81,Paths of Glory,8.4,1957
82,Rear Window,8.4,1954
83,Sunset Blvd.,8.4,1950
84,The Great Dictator,8.4,1940
85,1917,8.3,2019
86,Tumbbad,8.3,2018
87,Andhadhun,8.3,2018
88,Drishyam,8.3,2013
89,Jagten,8.3,2012
90,Jodaeiye Nader az Simin,8.3,2011
91,Incendies,8.3,2010
92,Miracle in cell NO.7,8.3,2019
93,Babam ve Oglum,8.3,2005
94,Inglourious Basterds,8.3,2009
95,Eternal Sunshine of the Spotless Mind,8.3,2004
96,Amélie,8.3,2001
97,Snatch,8.3,2000
98,Requiem for a Dream,8.3,2000
99,American Beauty,8.3,1999
